Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Gripe nos CSP
2016-11-03;ARS Norte;53671.0;28544.0;25127.0;55.0
2016-11-03;ARS Lisboa e Vale do Tejo;28591.0;11997.0;16594.0;48.0
2016-11-03;ARS Algarve;4695.0;2478.0;2217.0;3.0
2016-11-04;ARS Algarve;3659.0;1919.0;1740.0;13.0
2016-11-05;ARS Algarve;362.0;360.0;2.0;0.0
2016-11-06;ARS Norte;2133.0;2133.0;0.0;12.0
2016-11-07;ARS Algarve;4874.0;2553.0;2321.0;6.0
2016-11-08;ARS Alentejo;9284.0;4912.0;4372.0;24.0
2016-11-10;ARS Centro;23364.0;12852.0;10512.0;39.0
2016-11-10;ARS Lisboa e Vale do Tejo;28516.0;11530.0;16986.0;65.0
2016-11-11;ARS Norte;40833.0;22237.0;18596.0;78.0
2016-11-12;ARS Lisboa e Vale do Tejo;2044.0;2014.0;30.0;33.0
2016-11-13;ARS Centro;1737.0;1724.0;13.0;7.0
2016-11-14;ARS Algarve;5137.0;2781.0;2356.0;23.0
2016-11-15;ARS Alentejo;9085.0;4799.0;4286.0;45.0
2016-11-16;ARS Centro;23166.0;12719.0;10447.0;53.0
2016-11-18;ARS Algarve;3572.0;1884.0;1688.0;7.0
2016-11-19;ARS Lisboa e Vale do Tejo;2211.0;2173.0;38.0;50.0
2016-11-20;ARS Lisboa e Vale do Tejo;1366.0;1366.0;0.0;16.0
2016-11-20;ARS Alentejo;810.0;766.0;44.0;21.0
2016-11-20;ARS Algarve;268.0;177.0;91.0;3.0
2016-11-21;ARS Norte;63743.0;34291.0;29452.0;156.0
2016-11-22;ARS Centro;24593.0;13485.0;11108.0;43.0
2016-11-22;ARS Alentejo;8745.0;4592.0;4153.0;61.0
2016-11-22;ARS Algarve;5164.0;2507.0;2657.0;20.0
2016-11-23;ARS Centro;23850.0;13026.0;10824.0;61.0
2016-11-24;ARS Norte;50207.0;24415.0;25792.0;124.0
2016-11-25;ARS Alentejo;6214.0;3274.0;2940.0;50.0
2016-11-26;ARS Lisboa e Vale do Tejo;2233.0;2215.0;18.0;98.0
2016-11-27;ARS Norte;2487.0;2487.0;0.0;63.0
2016-11-27;ARS Centro;2052.0;2052.0;0.0;31.0
2016-11-27;ARS Alentejo;965.0;879.0;86.0;28.0
2016-11-28;ARS Algarve;4849.0;2502.0;2347.0;19.0
2016-11-29;ARS Norte;57978.0;30329.0;27649.0;261.0
2016-11-30;ARS Centro;23366.0;12925.0;10441.0;89.0
2016-11-30;ARS Lisboa e Vale do Tejo;30081.0;12138.0;17943.0;238.0
2016-11-30;ARS Algarve;4469.0;2339.0;2130.0;20.0
2016-12-01;ARS Lisboa e Vale do Tejo;1520.0;1501.0;19.0;51.0
2016-12-01;ARS Alentejo;1099.0;1035.0;64.0;29.0
2016-12-02;ARS Norte;43643.0;26107.0;17536.0;253.0
2016-12-05;ARS Centro;26612.0;16207.0;10405.0;157.0
2016-12-05;ARS Lisboa e Vale do Tejo;35355.0;16129.0;19226.0;435.0
2016-12-06;ARS Centro;24146.0;14074.0;10072.0;128.0
2016-12-06;ARS Algarve;4748.0;2582.0;2166.0;33.0
2016-12-08;ARS Norte;2847.0;2847.0;0.0;129.0
2016-12-08;ARS Centro;2085.0;2084.0;1.0;65.0
2016-12-08;ARS Lisboa e Vale do Tejo;1677.0;1660.0;17.0;119.0
2016-12-08;ARS Alentejo;1283.0;1201.0;82.0;81.0
2016-12-09;ARS Alentejo;6116.0;3783.0;2333.0;125.0
2016-12-12;ARS Lisboa e Vale do Tejo;37947.0;17544.0;20403.0;570.0
2016-12-12;ARS Algarve;4885.0;2767.0;2118.0;47.0
2016-12-13;ARS Centro;26343.0;15169.0;11174.0;150.0
2016-12-13;ARS Algarve;5378.0;2930.0;2448.0;34.0
2016-12-14;ARS Centro;24491.0;14005.0;10486.0;229.0
2016-12-15;ARS Norte;53888.0;27796.0;26092.0;488.0
2016-12-15;ARS Centro;24366.0;13571.0;10795.0;212.0
2016-12-15;ARS Lisboa e Vale do Tejo;31401.0;13046.0;18355.0;445.0
2016-12-17;ARS Centro;2506.0;2401.0;105.0;99.0
2016-12-18;ARS Norte;3107.0;3107.0;0.0;264.0
2016-12-18;ARS Centro;2310.0;2308.0;2.0;112.0
2016-12-21;ARS Norte;48965.0;25905.0;23060.0;638.0
2016-12-21;ARS Algarve;4206.0;2196.0;2010.0;45.0
2016-12-22;ARS Lisboa e Vale do Tejo;26514.0;10836.0;15678.0;459.0
2016-12-23;ARS Centro;14226.0;8876.0;5350.0;245.0
2016-12-25;ARS Norte;2331.0;2331.0;0.0;148.0
2016-12-26;ARS Centro;3543.0;3250.0;293.0;244.0
2016-12-27;ARS Alentejo;7855.0;4935.0;2920.0;153.0
2016-12-27;ARS Algarve;3906.0;2268.0;1638.0;41.0
2016-12-28;ARS Norte;47857.0;27621.0;20236.0;659.0
2016-12-29;ARS Norte;44533.0;25139.0;19394.0;709.0
2016-12-29;ARS Lisboa e Vale do Tejo;25655.0;11574.0;14081.0;512.0
2016-12-30;ARS Centro;14348.0;9350.0;4998.0;325.0
2016-12-31;ARS Norte;3262.0;3148.0;114.0;256.0
2017-01-01;ARS Alentejo;632.0;610.0;22.0;30.0
2017-01-02;ARS Algarve;3898.0;2239.0;1659.0;54.0
2017-01-04;ARS Alentejo;8251.0;4828.0;3423.0;122.0
2017-01-08;ARS Centro;2295.0;2295.0;0.0;132.0
2017-01-08;ARS Alentejo;877.0;833.0;44.0;46.0
