Concelho,ARS,Incidencia,Incidencia_categoria,Incidencia_descritivo
Abrantes,Lisboa e Vale do Tejo,117,"[0,120)",Baixa a moderada
Águeda,Centro,28,"[0,120)",Baixa a moderada
Aguiar da Beira,Centro,65,"[0,120)",Baixa a moderada
Alandroal,Alentejo,20,"[0,120)",Baixa a moderada
Albergaria-a-Velha,Centro,45,"[0,120)",Baixa a moderada
Albufeira,Algarve,181,"[120,240)",Moderada
Alcácer do Sal,Alentejo,121,"[120,240)",Moderada
Alcanena,Lisboa e Vale do Tejo,62,"[0,120)",Baixa a moderada
Alcobaça,Lisboa e Vale do Tejo,84,"[0,120)",Baixa a moderada
Alcochete,Lisboa e Vale do Tejo,15,"[0,120)",Baixa a moderada
Alcoutim,Algarve,530,"[480,960)",Muito elevada
Alenquer,Lisboa e Vale do Tejo,56,"[0,120)",Baixa a moderada
Alfândega da Fé,Norte,0,"[0,120)",Baixa a moderada
Alijó,Norte,266,"[240,480)",Elevada
Aljezur,Algarve,36,"[0,120)",Baixa a moderada
Aljustrel,Alentejo,61,"[0,120)",Baixa a moderada
Almada,Lisboa e Vale do Tejo,68,"[0,120)",Baixa a moderada
Almeida,Centro,0,"[0,120)",Baixa a moderada
Almeirim,Lisboa e Vale do Tejo,276,"[240,480)",Elevada
Almodôvar,Alentejo,90,"[0,120)",Baixa a moderada
Alpiarça,Lisboa e Vale do Tejo,115,"[0,120)",Baixa a moderada
Alter do Chão,Alentejo,159,"[120,240)",Moderada
Alvaiázere,Centro,0,"[0,120)",Baixa a moderada
Alvito,Alentejo,2958,"[960, Max)",Extremamente elevada
Amadora,Lisboa e Vale do Tejo,45,"[0,120)",Baixa a moderada
Amarante,Norte,42,"[0,120)",Baixa a moderada
Amares,Norte,61,"[0,120)",Baixa a moderada
Anadia,Centro,37,"[0,120)",Baixa a moderada
Angra do Heroísmo,Açores,12,"[0,120)",Baixa a moderada
Ansião,Centro,8,"[0,120)",Baixa a moderada
Arcos de Valdevez,Norte,159,"[120,240)",Moderada
Arganil,Centro,828,"[480,960)",Muito elevada
Armamar,Norte,0,"[0,120)",Baixa a moderada
Arouca,Norte,514,"[480,960)",Muito elevada
Arraiolos,Alentejo,0,"[0,120)",Baixa a moderada
Arronches,Alentejo,0,"[0,120)",Baixa a moderada
Arruda dos Vinhos,Lisboa e Vale do Tejo,51,"[0,120)",Baixa a moderada
Aveiro,Centro,69,"[0,120)",Baixa a moderada
Avis,Alentejo,0,"[0,120)",Baixa a moderada
Azambuja,Lisboa e Vale do Tejo,92,"[0,120)",Baixa a moderada
Baião,Norte,75,"[0,120)",Baixa a moderada
Barcelos,Norte,37,"[0,120)",Baixa a moderada
Barrancos,Alentejo,370,"[240,480)",Elevada
Barreiro,Lisboa e Vale do Tejo,36,"[0,120)",Baixa a moderada
Batalha,Centro,31,"[0,120)",Baixa a moderada
Beja,Alentejo,465,"[240,480)",Elevada
Belmonte,Centro,31,"[0,120)",Baixa a moderada
Benavente,Lisboa e Vale do Tejo,65,"[0,120)",Baixa a moderada
Bombarral,Lisboa e Vale do Tejo,237,"[120,240)",Moderada
Borba,Alentejo,0,"[0,120)",Baixa a moderada
Boticas,Norte,0,"[0,120)",Baixa a moderada
Braga,Norte,99,"[0,120)",Baixa a moderada
Bragança,Norte,39,"[0,120)",Baixa a moderada
Cabeceiras de Basto,Norte,52,"[0,120)",Baixa a moderada
Cadaval,Lisboa e Vale do Tejo,51,"[0,120)",Baixa a moderada
Caldas da Rainha,Lisboa e Vale do Tejo,208,"[120,240)",Moderada
Calheta [R.A. Açores],Açores,0,"[0,120)",Baixa a moderada
Calheta [R.A. Madeira],Madeira,65,"[0,120)",Baixa a moderada
Câmara de Lobos,Madeira,54,"[0,120)",Baixa a moderada
Caminha,Norte,89,"[0,120)",Baixa a moderada
Campo Maior,Alentejo,193,"[120,240)",Moderada
Cantanhede,Centro,68,"[0,120)",Baixa a moderada
Carrazeda de Ansiães,Norte,0,"[0,120)",Baixa a moderada
Carregal do Sal,Centro,54,"[0,120)",Baixa a moderada
Cartaxo,Lisboa e Vale do Tejo,55,"[0,120)",Baixa a moderada
Cascais,Lisboa e Vale do Tejo,73,"[0,120)",Baixa a moderada
Castanheira de Pêra,Centro,39,"[0,120)",Baixa a moderada
Castelo Branco,Centro,510,"[480,960)",Muito elevada
