ARS,Hospital,lat,long
Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",38.708454,-9.216985
Região de Saúde LVT,"Hospital de Cascais, PPP",38.729006,-9.418267
Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",38.7396768,-9.1634516
Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",38.7166948,-9.1371248
Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",38.7500861,-9.1616116
Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",39.2410946,-8.6937515
Região de Saúde LVT,"Hospital Garcia de Orta, EPE",38.6658713,-9.1822554
Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE",39.4054629,-9.1258493
Região de Saúde LVT,"Hospital de Loures, EPE",38.821455,-9.176296
Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",38.7422257,-9.2264834
Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",38.5283754,-8.8818638
Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",38.6554005,-9.0592392
Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",39.478072,-8.5404429
Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE",38.977235,-8.984506
