cod_geo,geo,nivel_geo,cod_dicofre11,dicofre11_2,cod_nuts3,nuts3,cod_nuts2,nuts2,cod_nuts1,nuts1,cod_pais,pais,cod_tot,tot,cod_geo_nuts2002,cod_aces,aces1,aces2,cod_ars,ars
1111601,Arcos de Valdevez,4,'1601,1601,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,T,Total,1111601,123,ALTO MINHO,ULS Alto Minho,11,Norte
1111602,Caminha,4,'1602,1602,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,T,Total,1111602,123,ALTO MINHO,ULS Alto Minho,11,Norte
1111603,Melgaço,4,'1603,1603,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,T,Total,1111603,123,ALTO MINHO,ULS Alto Minho,11,Norte
1111604,Monção,4,'1604,1604,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,T,Total,1111604,123,ALTO MINHO,ULS Alto Minho,11,Norte
1111605,Paredes de Coura,4,'1605,1605,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,T,Total,1111605,123,ALTO MINHO,ULS Alto Minho,11,Norte
1111606,Ponte da Barca,4,'1606,1606,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,T,Total,1111606,123,ALTO MINHO,ULS Alto Minho,11,Norte
1111607,Ponte de Lima,4,'1607,1607,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,T,Total,1111607,123,ALTO MINHO,ULS Alto Minho,11,Norte
1111608,Valença,4,'1608,1608,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,T,Total,1111608,123,ALTO MINHO,ULS Alto Minho,11,Norte
1111609,Viana do Castelo,4,'1609,1609,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,T,Total,1111609,123,ALTO MINHO,ULS Alto Minho,11,Norte
1111610,Vila Nova de Cerveira,4,'1610,1610,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,T,Total,1111610,123,ALTO MINHO,ULS Alto Minho,11,Norte
1120301,Amares,4,'0301,301,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,T,Total,1120301,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
1120302,Barcelos,4,'0302,302,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,T,Total,1120302,108,CÁVADO III,ACeS Barcelos/Esposende,11,Norte
1120303,Braga,4,'0303,303,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,T,Total,1120303,106,CÁVADO I,ACeS Braga,11,Norte
1120306,Esposende,4,'0306,306,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,T,Total,1120306,108,CÁVADO III,ACeS Barcelos/Esposende,11,Norte
1120310,Terras de Bouro,4,'0310,310,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,T,Total,1120310,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
1120313,Vila Verde,4,'0313,313,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,T,Total,1120313,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
1190304,Cabeceiras de Basto,4,'0304,304,119,Ave,'11,Norte,'1,Continente,PT,Portugal,T,Total,1150304,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
1190307,Fafe,4,'0307,307,119,Ave,'11,Norte,'1,Continente,PT,Portugal,T,Total,1130307,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
1190308,Guimarães,4,'0308,308,119,Ave,'11,Norte,'1,Continente,PT,Portugal,T,Total,1130308,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
1191705,Mondim de Basto,4,'1705,1705,119,Ave,'11,Norte,'1,Continente,PT,Portugal,T,Total,1151705,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
1190309,Póvoa de Lanhoso,4,'0309,309,119,Ave,'11,Norte,'1,Continente,PT,Portugal,T,Total,1130309,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
1190311,Vieira do Minho,4,'0311,311,119,Ave,'11,Norte,'1,Continente,PT,Portugal,T,Total,1130311,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
1190312,Vila Nova de Famalicão,4,'0312,312,119,Ave,'11,Norte,'1,Continente,PT,Portugal,T,Total,1130312,105,AVE,ACeS Famalicão,11,Norte
1190314,Vizela,4,'0314,314,119,Ave,'11,Norte,'1,Continente,PT,Portugal,T,Total,1130314,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
11A0104,Arouca,4,'0104,104,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1160104,120,ENTRE DOURO E VOUGA I,ACeS Feira/Arouca,11,Norte
11A0107,Espinho,4,'0107,107,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1140107,118,GRANDE PORTO VII+VIII,ACeS Gaia e Espinho/Gaia,11,Norte
11A1304,Gondomar,4,'1304,1304,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1141304,113,GRANDE PORTO II,ACeS Gondomar,11,Norte
11A1306,Maia,4,'1306,1306,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1141306,114,GRANDE PORTO III,ACeS Maia/Valongo,11,Norte
11A1308,Matosinhos,4,'1308,1308,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1141308,122,MATOSINHOS,ULS Matosinhos,11,Norte
11A0113,Oliveira de Azeméis,4,'0113,113,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1160113,121,ENTRE DOURO E VOUGA II,ACeS Aveiro Norte,11,Norte
11A1310,Paredes,4,'1310,1310,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1151310,110,TÂMEGA II,ACeS Vale do Sousa Sul,11,Norte
11A1312,Porto,4,'1312,1312,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1141312,116,GRANDE PORTO V+VI,ACeS Porto Ocidental e Porto Oriental,11,Norte
11A1313,Póvoa de Varzim,4,'1313,1313,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1141313,115,GRANDE PORTO IV,ACeS Póvoa de Varzim/Vila do Conde,11,Norte
11A0109,Santa Maria da Feira,4,'0109,109,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1160109,120,ENTRE DOURO E VOUGA I,ACeS Feira/Arouca,11,Norte
11A1314,Santo Tirso,4,'1314,1314,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1131314,112,GRANDE PORTO I,ACeS Santo Tirso/Trofa,11,Norte
11A0116,São João da Madeira,4,'0116,116,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1160116,121,ENTRE DOURO E VOUGA II,ACeS Aveiro Norte,11,Norte
11A1318,Trofa,4,'1318,1318,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1131318,112,GRANDE PORTO I,ACeS Santo Tirso/Trofa,11,Norte
11A0119,Vale de Cambra,4,'0119,119,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1160119,121,ENTRE DOURO E VOUGA II,ACeS Aveiro Norte,11,Norte
11A1315,Valongo,4,'1315,1315,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1141315,114,GRANDE PORTO III,ACeS Maia/Valongo,11,Norte
11A1316,Vila do Conde,4,'1316,1316,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1141316,115,GRANDE PORTO IV,ACeS Póvoa de Varzim/Vila do Conde,11,Norte
11A1317,Vila Nova de Gaia,4,'1317,1317,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,T,Total,1141317,118,GRANDE PORTO VII+VIII,ACeS Gaia e Espinho/Gaia,11,Norte
11B1702,Boticas,4,'1702,1702,'11B,Alto Tâmega,'11,Norte,'1,Continente,PT,Portugal,T,Total,1181702,101,TRÁS-OS-MONTES,ACeS Alto Tâmega e Barroso,11,Norte
11B1703,Chaves,4,'1703,1703,'11B,Alto Tâmega,'11,Norte,'1,Continente,PT,Portugal,T,Total,1181703,101,TRÁS-OS-MONTES,ACeS Alto Tâmega e Barroso,11,Norte
11B1706,Montalegre,4,'1706,1706,'11B,Alto Tâmega,'11,Norte,'1,Continente,PT,Portugal,T,Total,1181706,101,TRÁS-OS-MONTES,ACeS Alto Tâmega e Barroso,11,Norte
11B1709,Ribeira de Pena,4,'1709,1709,'11B,Alto Tâmega,'11,Norte,'1,Continente,PT,Portugal,T,Total,1151709,101,TRÁS-OS-MONTES,ACeS Alto Tâmega e Barroso,11,Norte
11B1712,Valpaços,4,'1712,1712,'11B,Alto Tâmega,'11,Norte,'1,Continente,PT,Portugal,T,Total,1181712,101,TRÁS-OS-MONTES,ACeS Alto Tâmega e Barroso,11,Norte
11B1713,Vila Pouca de Aguiar,4,'1713,1713,'11B,Alto Tâmega,'11,Norte,'1,Continente,PT,Portugal,T,Total,1181713,101,TRÁS-OS-MONTES,ACeS Alto Tâmega e Barroso,11,Norte
11C1301,Amarante,4,'1301,1301,'11C,Tâmega e Sousa,'11,Norte,'1,Continente,PT,Portugal,T,Total,1151301,109,TÂMEGA I,ACeS Baixo Tâmega,11,Norte
11C1302,Baião,4,'1302,1302,'11C,Tâmega e Sousa,'11,Norte,'1,Continente,PT,Portugal,T,Total,1151302,109,TÂMEGA I,ACeS Baixo Tâmega,11,Norte
11C0106,Castelo de Paiva,4,'0106,106,'11C,Tâmega e Sousa,'11,Norte,'1,Continente,PT,Portugal,T,Total,1150106,110,TÂMEGA II,ACeS Vale do Sousa Sul,11,Norte
11C0305,Celorico de Basto,4,'0305,305,'11C,Tâmega e Sousa,'11,Norte,'1,Continente,PT,Portugal,T,Total,1150305,109,TÂMEGA I,ACeS Baixo Tâmega,11,Norte
11C1804,Cinfães,4,'1804,1804,'11C,Tâmega e Sousa,'11,Norte,'1,Continente,PT,Portugal,T,Total,1151804,109,TÂMEGA I,ACeS Baixo Tâmega,11,Norte
