geocod,geodsg,valor,sinal_conv,sinal_conv_desc,obs
16J0503,Covilhã,3.6,"","",2021
1840210,Moura,3.7,"","",2021
2004202,Nordeste,4.3,"","",2021
1111604,Monção,6.9,"","",2021
11A0109,Santa Maria da Feira,2,"","",2021
11D1820,Tarouca,2.6,"","",2021
11D1701,Alijó,4.1,"","",2021
1500801,Albufeira,1.9,"","",2021
16F1010,Marinha Grande,2.8,"","",2021
16J0908,Manteigas,3.4,"","",2021
11B1712,Valpaços,5.2,"","",2021
1701511,Sesimbra,2.9,"","",2021
1870705,Évora,3.2,"","",2021
16E0610,Montemor-o-Velho,4.5,"","",2021
1861201,Alter do Chão,7.4,"","",2021
1870714,Vila Viçosa,4.6,"","",2021
1111609,Viana do Castelo,3,"","",2021
11C0305,Celorico de Basto,4.4,"","",2021
16J0907,Guarda,3.2,"","",2021
16B1113,Torres Vedras,2.9,"","",2021
1861214,Portalegre,4.3,"","",2021
11D1707,Murça,3.4,"","",2021
16G1811,Penalva do Castelo,4.6,"","",2021
16B1112,Sobral de Monte Agraço,4,"","",2021
16I1402,Alcanena,4.6,"","",2021
1861205,Castelo de Vide,5.6,"","",2021
1870703,Borba,5.3,"","",2021
1870702,Arraiolos,3.7,"","",2021
11A1317,Vila Nova de Gaia,2.5,"","",2021
11C1311,Penafiel,2.3,"","",2021
11E0401,Alfândega da Fé,4.4,"","",2021
16F1004,Batalha,2.7,"","",2021
1500811,Portimão,2.4,"","",2021
16F1015,Pombal,3.6,"","",2021
16H0508,Proença-a-Nova,5.6,"","",2021
16J0501,Belmonte,2.1,"","",2021
1701107,Loures,3.1,"","",2021
1870704,Estremoz,4.7,"","",2021
1851416,Santarém,3.4,"","",2021
3003103,Funchal,3.6,"","",2021
1111607,Ponte de Lima,2.8,"","",2021
11B1702,Boticas,5.4,"","",2021
2004101,Vila do Porto,3.3,"","",2021
1500815,Vila do Bispo,3.8,"","",2021
16D0114,Oliveira do Bairro,3.3,"","",2021
16G1806,Mangualde,4,"","",2021
1111606,Ponte da Barca,5.5,"","",2021
11A1316,Vila do Conde,2.5,"","",2021
11B1709,Ribeira de Pena,3.2,"","",2021
16I1421,Ourém,3.3,"","",2021
1111601,Arcos de Valdevez,5.1,"","",2021
11D1819,Tabuaço,3.2,"","",2021
1861213,Ponte de Sôr,4,"","",2021
3003107,Ribeira Brava,3,"","",2021
11C1804,Cinfães,4.6,"","",2021
11D1807,Moimenta da Beira,3.9,"","",2021
11D1704,Mesão Frio,3.7,"","",2021
11D0404,Freixo de Espada à Cinta,8.6,"","",2021
1500812,São Brás de Alportel,2.3,"","",2021
2004603,São Roque do Pico,4,"","",2021
1500803,Aljezur,3.7,"","",2021
16H0505,Idanha-a-Nova,8.3,"","",2021
1701115,Amadora,2.7,"","",2021
1851409,Coruche,5.8,"","",2021
1851406,Cartaxo,3.8,"","",2021
16E1808,Mortágua,4.8,"","",2021
16G1802,Carregal do Sal,3.4,"","",2021
1701111,Sintra,2.3,"","",2021
1861215,Sousel,6.1,"","",2021
