Período;Região;Instituição;Localização Geográfica;Médicos S/ Internos;Médicos Internos;Enfermeiros;Técnicos Superiores de Saúde;Farmacêuticos;Técnicos de Diagnóstico e Terapêutica;Assistentes Técnicos;Assistentes Operacionais;Técnicos Superiores;Informáticos;Outros;Total Geral
2014-12;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;38.7569402,-9.1494097;2;0;2;1;;0;37;5;;;106;153
2014-12;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.565715,-7.91162;112;22;179;18;;26;185;99;;;87;728
2014-12;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;920;277;1133;75;;147;1005;523;;;235;4315
2014-12;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;38.748879,-9.139606;1796;543;2290;163;;296;1813;737;;;398;8036
2015-01;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;38.7569402,-9.1494097;2;0;2;1;;0;37;4;;;107;153
2015-02;Serviços Centrais;Ação Governativa;38.7362218,-9.1463126;0;0;0;0;;0;6;6;;;32;44
2015-03;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;212;87;416;37;;137;306;253;;;113;1561
2015-03;Região de Saúde Norte;Administração Regional de Saúde do Norte, I.P.;41.157454,-8.604431;1764;890;2588;139;;188;1875;874;;;419;8737
2015-04;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;38.7569402,-9.1494097;3;0;2;1;;0;37;5;;;101;149
2015-04;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;214;87;412;37;;137;306;252;;;111;1556
2015-04;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;38.748879,-9.139606;1764;692;2279;163;;294;1800;767;;;386;8145
2015-06;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;913;335;1146;75;;152;1000;524;;;236;4381
2015-07;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;911;335;1141;75;;152;1000;527;;;236;4377
2015-07;Serviços Centrais;Infarmed - Autoridade Nacional do Medicamento e Produtos de Saúde, I.P.;38.7582532,-9.1502867;1;0;0;7;;2;80;6;;;259;355
2015-08;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.565715,-7.91162;112;28;190;18;;24;179;98;;;83;732
2015-08;Região de Saúde Norte;Administração Regional de Saúde do Norte, I.P.;41.157454,-8.604431;1825;804;2595;139;;190;1882;873;;;425;8733
2015-09;Serviços Centrais;Ação Governativa;38.7362218,-9.1463126;0;0;0;0;;0;6;6;;;30;42
2015-09;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;38.7569402,-9.1494097;3;0;2;1;;0;36;5;;;124;171
2015-09;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;228;79;414;36;;134;309;246;;;108;1554
2015-10;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.565715,-7.91162;115;26;192;18;;24;180;99;;;84;738
2015-10;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;937;299;1141;74;;151;1009;516;;;236;4363
2015-10;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;38.748879,-9.139606;1808;597;2385;163;;297;1797;755;;;388;8190
2015-11;Serviços Centrais;Ação Governativa;38.7362218,-9.1463126;0;0;0;0;;0;6;6;;;26;38
2015-11;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;38.7569402,-9.1494097;3;0;2;1;;0;36;5;;;124;171
2015-12;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;38.748879,-9.139606;1806;594;2429;164;;297;1794;756;;;393;8233
2015-12;Região de Saúde Norte;Administração Regional de Saúde do Norte, I.P.;41.157454,-8.604431;1887;743;2617;139;;193;1910;871;;;424;8784
2016-01;Serviços Centrais;Ação Governativa;38.7362218,-9.1463126;0;0;0;0;;0;6;6;;;30;42
2016-01;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;38.7569402,-9.1494097;3;0;2;0;;0;34;6;;;136;181
2016-01;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;232;96;418;35;;145;315;244;;;111;1596
2016-02;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;38.7569402,-9.1494097;3;0;2;1;;0;32;6;;;137;181
2016-02;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;233;94;416;35;;144;313;243;;;109;1587
2016-02;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;937;356;1179;74;;151;1017;499;;;236;4449
2016-02;Região de Saúde Norte;Administração Regional de Saúde do Norte, I.P.;41.157454,-8.604431;1893;901;2625;138;;193;1930;845;;;419;8944
2016-03;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.565715,-7.91162;115;32;190;18;;23;185;99;;;85;747
2016-05;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;936;352;1217;74;;150;1028;499;;;234;4490
2016-07;Serviços Centrais;Ação Governativa;38.7362218,-9.1463126;0;0;0;0;;0;6;6;;;23;35
2016-08;Serviços Centrais;Ação Governativa;38.7362218,-9.1463126;0;0;0;0;;0;6;6;;;23;35
2016-09;Região de Saúde Norte;Administração Regional de Saúde do Norte, I.P.;41.157454,-8.604431;1967;754;2648;136;;191;1932;822;;;427;8877
2016-10;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;248;84;422;35;;145;314;236;;;112;1596
2016-12;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.565715,-7.91162;115;28;191;17;;25;181;94;;;88;739
2016-12;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;251;82;419;35;;145;316;232;;;112;1592
2017-01;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;38.7569402,-9.1494097;3;0;3;1;;0;34;6;;;145;192
2017-01;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;976;394;1235;75;;150;1025;484;;;233;4572
2017-01;Região de Saúde Norte;Administração Regional de Saúde do Norte, I.P.;41.157454,-8.604431;1968;874;2673;136;;191;1961;816;;;434;9053
2017-03;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.565715,-7.91162;118;37;192;18;;26;180;93;;;87;751
2017-03;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;253;97;443;34;;141;318;233;;;115;1634
2017-04;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;978;392;1242;77;;150;1029;488;;;238;4594
2017-04;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;38.748879,-9.139606;1922;770;2474;160;;299;1908;646;;;410;8589
2017-05;Serviços Centrais;Ação Governativa;38.7362218,-9.1463126;0;0;0;0;;0;6;6;;;22;34
