periodo,instituicao,tipo_de_especialidade,doentes_saidos,dias_de_internamento,length_patient,new_var,fonte,multiplicacao,eriodo,year,month,week,weekday,doentes_saidos_lag,dias_de_internamento_lag,doentes_saidos_var,dias_de_internamento_var,cat1,cat2,instituicao1,instituicao2,length_stay_var,tipo_instituicao
2015-01-01,"Unidade Local de Saúde do Baixo Alentejo, EPE",Especialidade Cirurgica,360,2026,5.6,2,transparencia_sns,729360,2015-01-01,2015,1,1,qui,,,360,2026,Poucos doentes,Pouquissímos doentes,"Unidade Local de Saúde do Baixo Alentejo, EPE","Unidade Local de Saúde do Baixo Alentejo, EPE",5.62777777777778,Hospital
2015-01-01,"Centro Hospitalar Universitário Cova da Beira, EPE",Especialidade Cirurgica,352,2626,7.5,2,transparencia_sns,924352,2015-01-01,2015,1,1,qui,,,352,2626,Poucos doentes,Pouquissímos doentes,"Centro Hospitalar Universitário Cova da Beira, EPE","Centro Hospitalar Universitário Cova da Beira, EPE",7.46022727272727,University
2015-01-01,"Centro Hospitalar do Baixo Vouga, EPE",Especialidade Cirurgica,651,3958,6.1,2,transparencia_sns,2576658,2015-01-01,2015,1,1,qui,,,651,3958,Poucos doentes,Pouquissímos doentes,"Centro Hospitalar do Baixo Vouga, EPE","Centro Hospitalar do Baixo Vouga, EPE",6.07987711213518,Hospital
2015-01-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,330,2183,6.6,2,transparencia_sns,720390,2015-01-01,2015,1,1,qui,,,330,2183,Poucos doentes,Pouquissímos doentes,"Instituto Português Oncologia de Coimbra, EPE","Instituto Português Oncologia de Coimbra, EPE",6.61515151515152,Cancer hospital
2015-01-01,"Unidade Local de Saúde da Guarda, EPE",Especialidade Cirurgica,329,2640,8,2,transparencia_sns,868560,2015-01-01,2015,1,1,qui,,,329,2640,Poucos doentes,Pouquissímos doentes,"Unidade Local de Saúde da Guarda, EPE","Unidade Local de Saúde da Guarda, EPE",8.02431610942249,Hospital
2015-01-01,"Centro Hospitalar de Setúbal, EPE",Especialidade Cirurgica,525,3442,6.6,2,transparencia_sns,1807050,2015-01-01,2015,1,1,qui,,,525,3442,Poucos doentes,Pouquissímos doentes,"Centro Hospitalar de Setúbal, EPE","Centro Hospitalar de Setúbal, EPE",6.55619047619048,Hospital
2015-01-01,"Centro Hospitalar Universitário de São João, EPE",Especialidade Cirurgica,2012,13272,6.6,2,transparencia_sns,26703264,2015-01-01,2015,1,1,qui,,,2012,13272,Muitos doentes,Muitos doentes,"Centro Hospitalar Universitário de São João, EPE","Centro Hospitalar Universitário de São João, EPE",6.59642147117296,University
2015-01-01,"Centro Hospitalar do Médio Ave, EPE",Especialidade Cirurgica,552,3227,5.8,2,transparencia_sns,1781304,2015-01-01,2015,1,1,qui,,,552,3227,Poucos doentes,Pouquissímos doentes,"Centro Hospitalar do Médio Ave, EPE","Centro Hospitalar do Médio Ave, EPE",5.84601449275362,Hospital
2015-01-01,"Centro Hospitalar Entre Douro e Vouga, EPE",Especialidade Cirurgica,737,3445,4.7,2,transparencia_sns,2538965,2015-01-01,2015,1,1,qui,,,737,3445,Poucos doentes,Pouquissímos doentes,"Centro Hospitalar Entre Douro e Vouga, EPE","Centro Hospitalar Entre Douro e Vouga, EPE",4.67435549525102,Hospital
2015-01-01,"Hospital Santa Maria Maior, EPE",Especialidade Cirurgica,149,827,5.6,2,transparencia_sns,123223,2015-01-01,2015,1,1,qui,,,149,827,Poucos doentes,Pouquissímos doentes,"Hospital Santa Maria Maior, EPE","Hospital Santa Maria Maior, EPE",5.5503355704698,Hospital
2015-02-01,"Centro Hospitalar Universitário do Algarve,EPE",Especialidade Cirurgica,2248,16312,7.3,2,transparencia_sns,36669376,2015-02-01,2015,2,5,dom,1135,8418,1113,7894,Muitos doentes,Muitos doentes,"Centro Hospitalar Universitário do Algarve,EPE","Centro Hospitalar Universitário do Algarve,EPE",7.09254267744834,University
2015-02-01,Hospital Dr. Francisco Zagalo,Especialidade Cirurgica,80,304,3.8,2,transparencia_sns,24320,2015-02-01,2015,2,5,dom,43,158,37,146,Poucos doentes,Pouquissímos doentes,Hospital Dr. Francisco Zagalo,Hospital Dr. Francisco Zagalo,3.94594594594595,Hospital
2015-02-01,"Unidade Local de Saúde da Guarda, EPE",Especialidade Cirurgica,632,5371,8.5,2,transparencia_sns,3394472,2015-02-01,2015,2,5,dom,329,2640,303,2731,Poucos doentes,Pouquissímos doentes,"Unidade Local de Saúde da Guarda, EPE","Unidade Local de Saúde da Guarda, EPE",9.01320132013201,Hospital
2015-02-01,"Unidade Local de Saúde de Castelo Branco, EPE",Especialidade Cirurgica,568,3964,7,2,transparencia_sns,2251552,2015-02-01,2015,2,5,dom,265,1941,303,2023,Poucos doentes,Pouquissímos doentes,"Unidade Local de Saúde de Castelo Branco, EPE","Unidade Local de Saúde de Castelo Branco, EPE",6.67656765676568,Hospital
2015-02-01,"Centro Hospitalar de Lisboa Ocidental, EPE",Especialidade Cirurgica,2098,16563,7.9,2,transparencia_sns,34749174,2015-02-01,2015,2,5,dom,1112,8806,986,7757,Muitos doentes,Muitos doentes,"Centro Hospitalar de Lisboa Ocidental, EPE","Centro Hospitalar de Lisboa Ocidental, EPE",7.86713995943205,Hospital
2015-02-01,"Hospital Garcia de Orta, EPE",Especialidade Cirurgica,1730,10165,5.9,2,transparencia_sns,17585450,2015-02-01,2015,2,5,dom,875,5216,855,4949,Muitos doentes,Muitos doentes,"Hospital Garcia de Orta, EPE","Hospital Garcia de Orta, EPE",5.78830409356725,Hospital
2015-02-01,"Centro Hospitalar Universitário do Porto, EPE",Especialidade Cirurgica,3356,17179,5.1,2,transparencia_sns,57652724,2015-02-01,2015,2,5,dom,1739,8640,1617,8539,Muitos doentes,Muitos doentes,"Centro Hospitalar Universitário do Porto, EPE","Centro Hospitalar Universitário do Porto, EPE",5.28076685219542,University
2015-02-01,"Hospital da Senhora da Oliveira, Guimarães, EPE",Especialidade Cirurgica,1625,9792,6,2,transparencia_sns,15912000,2015-02-01,2015,2,5,dom,838,5018,787,4774,Muitos doentes,Muitos doentes,"Hospital da Senhora da Oliveira, Guimarães, EPE","Hospital da Senhora da Oliveira, Guimarães, EPE",6.06607369758577,Hospital
2015-02-01,"Hospital Santa Maria Maior, EPE",Especialidade Cirurgica,273,1615,5.9,2,transparencia_sns,440895,2015-02-01,2015,2,5,dom,149,827,124,788,Poucos doentes,Pouquissímos doentes,"Hospital Santa Maria Maior, EPE","Hospital Santa Maria Maior, EPE",6.35483870967742,Hospital
2015-02-01,"Instituto Português Oncologia do Porto, EPE",Especialidade Cirurgica,1054,8173,7.8,2,transparencia_sns,8614342,2015-02-01,2015,2,5,dom,509,4094,545,4079,Muitos doentes,Muitos doentes,"Instituto Português Oncologia do Porto, EPE","Instituto Português Oncologia do Porto, EPE",7.48440366972477,Cancer hospital
2015-02-01,"Unidade Local de Saúde do Alto Minho, EPE",Especialidade Cirurgica,1454,8393,5.8,2,transparencia_sns,12203422,2015-02-01,2015,2,5,dom,764,4027,690,4366,Muitos doentes,Muitos doentes,"Unidade Local de Saúde do Alto Minho, EPE","Unidade Local de Saúde do Alto Minho, EPE",6.32753623188406,Hospital
2015-02-01,"Unidade Local de Saúde do Nordeste, EPE",Especialidade Cirurgica,917,5839,6.4,2,transparencia_sns,5354363,2015-02-01,2015,2,5,dom,456,2947,461,2892,Poucos doentes,Pouquissímos doentes,"Unidade Local de Saúde do Nordeste, EPE","Unidade Local de Saúde do Nordeste, EPE",6.27331887201735,Hospital
2015-03-01,"Unidade Local de Saúde do Baixo Alentejo, EPE",Especialidade Cirurgica,1079,5997,5.6,2,transparencia_sns,6470763,2015-03-01,2015,3,9,dom,698,3844,381,2153,Muitos doentes,Muitos doentes,"Unidade Local de Saúde do Baixo Alentejo, EPE","Unidade Local de Saúde do Baixo Alentejo, EPE",5.6509186351706,Hospital
2015-03-01,"Centro Hospitalar Tondela-Viseu, EPE",Especialidade Cirurgica,2441,17822,7.3,2,transparencia_sns,43503502,2015-03-01,2015,3,9,dom,1575,11455,866,6367,Muitos doentes,Muitos doentes,"Centro Hospitalar Tondela-Viseu, EPE","Centro Hospitalar Tondela-Viseu, EPE",7.35219399538106,Hospital
2015-03-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,1082,6925,6.4,2,transparencia_sns,7492850,2015-03-01,2015,3,9,dom,683,4612,399,2313,Muitos doentes,Muitos doentes,"Instituto Português Oncologia de Coimbra, EPE","Instituto Português Oncologia de Coimbra, EPE",5.79699248120301,Cancer hospital
2015-03-01,"Centro Hospitalar Médio Tejo, EPE",Especialidade Cirurgica,1701,10632,6.3,2,transparencia_sns,18085032,2015-03-01,2015,3,9,dom,1112,6897,589,3735,Muitos doentes,Muitos doentes,"Centro Hospitalar Médio Tejo, EPE","Centro Hospitalar Médio Tejo, EPE",6.34125636672326,Hospital
2015-03-01,"Centro Hospitalar do Médio Ave, EPE",Especialidade Cirurgica,1700,10054,5.9,2,transparencia_sns,17091800,2015-03-01,2015,3,9,dom,1078,6496,622,3558,Muitos doentes,Muitos doentes,"Centro Hospitalar do Médio Ave, EPE","Centro Hospitalar do Médio Ave, EPE",5.72025723472669,Hospital
